キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
u,0.101,0.481,455.021
r,0.125,0.426,455.549
o,0.123,0.511,455.633
u,0.081,0.571,456.327
t,0.076,0.116,456.524
y,0.087,0.034,456.634
u,0.077,0.073,456.673
u,0.096,0.048,456.798
j,0.133,0.405,457.300
i,0.112,0.470,457.364
t,0.097,0.195,457.672
u,0.099,0.257,457.734
h,0.087,0.214,458.047
a,0.122,0.034,458.168
w,0.183,0.651,458.940
a,0.142,0.758,459.048
i,0.076,0.032,459.222
n,0.056,0.115,459.413
n,0.070,0.054,459.523
h,0.096,0.921,460.513
y,0.066,0.281,460.890
o,0.087,0.035,460.991
u,0.097,0.090,461.046
t,0.081,0.887,462.030
o,0.065,0.051,462.162
o,0.079,0.055,462.281
i,0.116,0.196,462.556
y,0.068,0.450,463.123
a,0.093,0.035,463.226
m,0.069,0.116,463.307
a,0.105,0.034,463.410
r,0.101,0.536,464.051
o,0.057,0.036,464.187
k,0.066,0.112,464.357
k,0.101,0.039,464.462
u,0.055,0.032,464.595
d,0.150,0.473,465.123
a,0.125,0.573,465.223
r,0.153,0.194,465.542
e,0.133,0.292,465.640
t,0.070,0.493,466.265
o,0.034,0.056,466.391
o,0.128,0.205,466.630
i,0.035,0.219,466.644
t,0.058,0.181,466.940
t,0.107,0.051,467.049
o,0.107,0.075,467.232
h,0.110,0.374,467.713
i,0.117,0.434,467.773
m,0.079,0.121,468.011
o,0.119,0.176,468.066
o,0.061,0.532,468.717
t,0.054,0.091,468.869
t,0.087,0.069,468.992
o,0.130,0.081,469.160
b,0.085,0.365,469.655
a,0.113,0.034,469.774
s,0.106,0.107,469.994
u,0.084,0.212,470.098
s,0.077,0.414,470.596
k,0.076,0.424,471.097
a,0.084,0.034,471.207
s,0.156,0.081,471.372
a,0.116,0.170,471.461
t,0.082,0.314,471.890
a,0.102,0.376,471.952
d,0.116,0.069,472.124
a,0.119,0.139,472.194
j,0.151,0.560,472.873
i,0.140,0.651,472.964
k,0.150,0.054,473.158
u,0.108,0.153,473.257
t,0.082,0.492,473.858
o,0.100,0.574,473.940
u,0.095,0.069,474.009
f,0.091,0.594,474.698
u,0.095,0.658,474.762
n,0.084,0.910,475.766
e,0.110,0.045,475.895
r,0.099,0.200,476.206
u,0.069,0.035,476.340
f,0.108,0.797,477.206
u,0.072,0.871,477.280
o,0.069,0.293,477.644
r,0.110,0.355,477.706
o,0.093,0.358,478.174
f,0.111,0.355,478.622
u,0.101,0.443,478.710
r,0.129,0.122,478.933
o,0.099,0.246,479.057
j,0.101,0.505,479.660
a,0.119,0.052,479.813
m,0.123,0.138,479.900
